Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
0,1,pBR322,1.4283260241620475,1.5644064308653407,26.89071703989615,36.7276423744406,0.7039308997638317,Kan
0,1,CloDF,2.0550406892923516,2.161157603006881,113.9079312654838,145.76171258157254,0.7772093380276003,Kan
0,1,pUC,2.913500098684304,3.7239777195632207,828.6609275651095,5299.968329650456,0.1557947967254336,Kan
0,2,pBR322,1.4283260241620475,1.5644064308653407,26.89071703989615,36.7276423744406,0.7039308997638317,Kan
0,2,CloDF,2.0550406892923516,2.161157603006881,113.9079312654838,145.76171258157254,0.7772093380276003,Kan
0,2,pUC,2.913500098684304,3.7239777195632207,828.6609275651095,5299.968329650456,0.1557947967254336,Kan
0,3,pBR322,1.4283260241620475,1.5644064308653407,26.89071703989615,36.7276423744406,0.7039308997638317,Kan
0,3,CloDF,2.0550406892923516,2.161157603006881,113.9079312654838,145.76171258157254,0.7772093380276003,Kan
0,3,pUC,2.913500098684304,3.7239777195632207,828.6609275651095,5299.968329650456,0.1557947967254336,Kan
0,4,pBR322,1.4283260241620475,1.5644064308653407,26.89071703989615,36.7276423744406,0.7039308997638317,Kan
0,4,CloDF,2.0550406892923516,2.161157603006881,113.9079312654838,145.76171258157254,0.7772093380276003,Kan
0,4,pUC,2.913500098684304,3.7239777195632207,828.6609275651095,5299.968329650456,0.1557947967254336,Kan
0,5,pBR322,1.4283260241620475,1.5644064308653407,26.89071703989615,36.7276423744406,0.7039308997638317,Kan
0,5,CloDF,2.0550406892923516,2.161157603006881,113.9079312654838,145.76171258157254,0.7772093380276003,Kan
0,5,pUC,2.913500098684304,3.7239777195632207,828.6609275651095,5299.968329650456,0.1557947967254336,Kan
1,1,pBR322,1.2811184999015333,1.467212738324024,19.123751544177697,29.35337223891882,0.6173541301515922,Kan
1,1,CloDF,1.7588898863408726,1.9088937992370996,57.43366047710446,81.16342758617336,0.6962661104739141,Kan
1,1,pUC,1.6201001479812096,3.183747748874392,42.10541376409758,1532.8461078486223,0.02669473618756761,Kan
1,2,pBR322,1.2180816572438267,1.4317963550813733,16.544344314717254,27.044682089608198,0.5744571236334995,Kan
1,2,CloDF,1.7496904474820691,1.921420993572695,56.23348148678959,83.4824168231595,0.6619278286653423,Kan
1,2,pUC,1.7000878941301156,3.2532850046439123,50.3094853867786,1796.9290724086368,0.027419208559071855,Kan
1,3,pBR322,1.280676002480781,1.5180217265861187,19.136875131635854,33.06721871062077,0.5491220920731352,Kan
1,3,CloDF,1.72731733281531,1.9087141168296464,53.41313075133869,81.06931001670804,0.6468889169666142,Kan
1,3,pUC,1.7023005854613142,3.1851181319870068,50.4364932711809,1535.2604884172633,0.03225807163113102,Kan
1,4,pBR322,1.2152517771915108,1.4453677232113353,16.41549231278159,27.89813545103597,0.553126461498079,Kan
1,4,CloDF,1.7308689264435861,1.926900762481938,53.919265311440284,85.04366115756113,0.6258818610639129,Kan
1,4,pUC,1.721227860869319,3.1682842165096705,52.632279530097954,1473.2928268412422,0.03504782848234716,Kan
1,5,pBR322,1.2140946628582288,1.4478783606849923,16.375207223781214,28.068075839671263,0.5482175407323082,Kan
1,5,CloDF,1.735658611073527,1.9197533260366513,54.41834298305562,83.23538098255011,0.6437572334814838,Kan
1,5,pUC,1.7418830111330177,3.205893819583968,55.25998810835924,1607.7964356831897,0.03379662270975978,Kan
2,1,pBR322,1.32903645233896,1.3517349846617412,21.548272423152593,22.70125434340586,0.9041216600095061,Kan
2,1,CloDF,1.7778099985894544,1.757948461052985,60.073136868387515,57.306689415070444,1.0302908530455321,Kan
2,1,pUC,1.0739282214280177,1.8705632481993681,11.934788961130636,74.89633166936716,0.14615515669469545,Kan
2,2,pBR322,1.2964968629159894,1.343667517691305,19.839357310995457,22.098900523481316,0.8517734544157777,Kan
2,2,CloDF,1.751401255046041,1.779819211607367,56.451589531263416,60.27475094710419,0.9215356029487006,Kan
2,2,pUC,1.0542794428452744,1.975415632603856,11.356696340385044,95.00286330821457,0.10935725334873891,Kan
2,3,pBR322,1.3275984569351282,1.413597114535224,21.38776436298801,26.03736980677702,0.7816618842606798,Kan
2,3,CloDF,1.690691230362816,1.7211628231960538,49.11762222414823,52.63244463757254,0.9138965206087568,Kan
2,3,pUC,0.9650867874408483,1.8870069144337769,9.321875500120997,78.16518022849213,0.10657406155925504,Kan
2,4,pBR322,1.2178754879197566,1.292110246594582,16.546120963446977,19.621707793933467,0.7918527759162158,Kan
2,4,CloDF,1.6890571840798412,1.7069036423656658,48.90003627306006,50.968837967362866,0.9402222578631266,Kan
2,4,pUC,1.0022471272964883,1.9104274249722308,10.078313954664987,81.69515074127511,0.11122924556183629,Kan
2,5,pBR322,1.2816286541713156,1.3485794935646502,19.220501872823295,22.429807012235404,0.8120951244983563,Kan
2,5,CloDF,1.6971094078478004,1.7465588762981452,49.88375498022041,55.81269016776202,0.876439441511649,Kan
2,5,pUC,1.122622578591676,1.8091848936956627,15.304562734794088,67.81865336573752,0.19436606437781734,Kan
3,1,pBR322,1.2758107702200243,1.2967285666658885,18.873397100919064,19.815657803865328,0.9027234075796828,Kan
3,1,CloDF,1.6249747672988228,1.6488859374418716,42.23250884774008,44.57399087928042,0.9249763583827284,Kan
3,1,pUC,0.7509321715152334,1.6152608409534868,5.648729200143723,41.29178678009547,0.11244153336216972,Kan
3,2,pBR322,1.2760323438629022,1.3207175080660079,18.891454575468934,20.93476061247633,0.8549226301231186,Kan
3,2,CloDF,1.6386709687409544,1.676705942813558,43.57829308572872,47.507279228322865,0.8963324183069115,Kan
3,2,pUC,0.6520212554235716,1.3132559324232267,4.4933841296376595,20.619590663131614,0.1694873698022481,Kan
3,3,pBR322,1.2838383001984968,1.3384891283534712,19.227402369320394,21.815723540998505,0.836298883050493,Kan
3,3,CloDF,1.5764633179417136,1.6275396697117779,37.732685516926935,42.42332050535084,0.8657746782831133,Kan
3,3,pUC,0.6548463178366316,1.7199725432343262,4.518078306775051,52.51823150814091,0.06703005066777759,Kan
3,4,pBR322,1.344539532452899,1.432791452467689,22.121244192519935,27.133929351958567,0.7793401042499509,Kan
3,4,CloDF,1.5081548566415435,1.5841632075872905,32.31769569412259,38.506531058853795,0.8134883391208766,Kan
3,4,pUC,0.8256729860967559,1.7761749593948417,6.696977651998764,59.7452203981994,0.09532918626192832,Kan
3,5,pBR322,1.3340796862724433,1.403113286342214,21.591259815407707,25.301414948912278,0.8140005352017544,Kan
3,5,CloDF,1.5398130697577397,1.6304406245556828,34.67521355341804,42.71299291554036,0.7892801388233449,Kan
3,5,pUC,0.7565442496786091,1.4499414912721074,5.710385679957489,28.190149420678264,0.16725188300771898,Kan
4,1,pBR322,1.2732721370507722,1.3251563335813201,18.76303634904859,21.145664324349706,0.8402705707292694,Kan
4,1,CloDF,1.5064094499763536,1.5967706182235462,32.13053558101785,39.52704833159799,0.7873751768984575,Kan
4,1,pUC,0.6180227408110178,1.853254331455543,4.157700497256279,71.34227209140504,0.04421434732755142,Kan
4,2,pBR322,1.2418178520007304,1.3285061670334595,17.47515478095238,21.324600998410205,0.7729447864216018,Kan
4,2,CloDF,1.4730483618494243,1.5528507598275263,29.74654024121617,35.736116541227645,0.8043022432440211,Kan
4,2,pUC,0.42504486014051085,1.4182740641557905,2.664340719563183,26.224835781477264,0.06344561250599492,Kan
4,3,pBR322,1.2413805824705977,1.319518738481541,17.438765850935276,20.871084123126547,0.7877869696177107,Kan
4,3,CloDF,1.4543971644761167,1.5595838074452801,28.502244129931274,36.284859239960916,0.7592347477747031,Kan
4,3,pUC,0.4386845667634669,1.8029008108088151,2.7506841021758883,63.59688696736789,0.02747106466538894,Kan
4,4,pBR322,1.2328359893758152,1.3147032224324366,17.105163212652332,20.646526906929612,0.779895412005836,Kan
4,4,CloDF,1.3940694454637967,1.5472404536110211,24.82351718064113,35.26117423185244,0.6751232429100643,Kan
4,4,pUC,0.44442114118863646,1.656282395652866,2.7830995610369746,45.34772250938007,0.03933760328758052,Kan
4,5,pBR322,1.2806158697215448,1.3889856009768486,19.11225346354698,24.511994277124373,0.7383808722341576,Kan
4,5,CloDF,1.3882856384640487,1.5476506209036056,24.483287630067778,35.300820327703256,0.6651749859586575,Kan
4,5,pUC,0.6262401963097947,1.932012548522312,4.236291144598265,85.52753877261392,0.03788930087960864,Kan
5,1,pBR322,1.2952111376400623,1.3477281692588756,19.73943636216151,22.315968360365137,0.8419965653066058,Kan
5,1,CloDF,1.4397907018729867,1.502042314602569,27.579124248693105,31.809857506595645,0.8351041123038797,Kan
5,1,pUC,0.22749236199662135,1.7367655803331452,1.691568699681835,54.62381017734764,0.012605219863562443,Kan
5,2,pBR322,1.2507930800803317,1.30025687768024,17.838320445448588,19.995811376372167,0.8424864059962673,Kan
5,2,CloDF,1.3933451976599043,1.4969009738284849,24.781449893359394,31.471924315914425,0.756489922866189,Kan
5,2,pUC,0.25407309290716373,1.7805518993123968,1.7983963020826719,60.697068907280624,0.013140815951957418,Kan
5,3,pBR322,1.2267420279173376,1.3099586437321504,16.88273922252782,20.45016257600611,0.7766379031449832,Kan
5,3,CloDF,1.3158106251452468,1.4207706254978953,20.715642501721156,26.37578391066212,0.7475425620822719,Kan
5,3,pUC,0.0948993727486895,1.7377738911093221,1.244585529170952,54.737023885278624,0.004465925657936157,Kan
5,4,pBR322,1.2812757339797332,1.7796296542147063,19.12013603988323,60.255417634085006,0.30101790880962764,Kan
5,4,CloDF,1.2649614469345887,1.360132395713728,18.41045193082178,22.921670132123666,0.759825548711745,Kan
5,4,pUC,0.16718082405920787,1.7034664481461637,1.4698073759601222,50.586791045450184,0.009303204425020563,Kan
5,5,pBR322,1.180709948777131,1.2599199896478457,15.183514655963437,18.23933165034897,0.7788218908109839,Kan
5,5,CloDF,1.315521000000549,1.4327300202722622,20.695017187324382,27.08757434979007,0.7268897692989641,Kan
5,5,pUC,0.24022806657677787,1.7574082974327287,1.739170139372332,57.23138227027851,0.012935654866152379,Kan
6,1,pBR322,1.3675387490398112,1.4053071293826278,23.326210261510017,25.44342826273134,0.8775135496986043,Kan
6,1,CloDF,1.7225527261088251,1.7403565478480634,52.85081526986095,55.04132715927261,0.9419303033812456,Kan
6,1,pUC,1.6117424148844188,1.7761126905503788,40.95142738442248,59.82561546211216,0.6683174756003888,Kan
6,2,pBR322,1.3687930419718446,1.4246836652752493,23.410443618894007,26.61821313132005,0.841893141991954,Kan
6,2,CloDF,1.730891148413062,1.8046743084549866,53.92819555575244,63.81614455444526,0.8301868061165433,Kan
6,2,pUC,1.5713898097906291,1.736993309643563,37.278391518754106,54.59639487597685,0.6647953391495032,Kan
6,3,pBR322,1.3318103265206604,1.4017127336539403,21.47131448406272,25.224459905433445,0.8117779727044369,Kan
6,3,CloDF,1.6687222958089818,1.736798474667485,46.673311643494536,54.555763638225706,0.8373299865114102,Kan
6,3,pUC,1.609163236007503,1.7745575056269596,40.671164086245426,59.55898732431447,0.6666691700857111,Kan
6,4,pBR322,1.3869272950831135,1.4679561449791736,24.375683728040013,29.37801096742268,0.795937925713926,Kan
6,4,CloDF,1.6470444222824978,1.736308959255899,44.41756780189547,54.49325460517002,0.7964268137956806,Kan
6,4,pUC,1.5484050795894835,1.731827833815438,35.35713678010631,53.94837761999642,0.6371171999718682,Kan
6,5,pBR322,1.3500461514955113,1.43733989520281,22.41778536689337,27.383364049109986,0.7817853385870701,Kan
6,5,CloDF,1.6342523923693628,1.731167533684885,43.11388837335707,53.86671391867702,0.78195628877326,Kan
6,5,pUC,1.616549824646581,1.8126863897506444,41.37222722294891,65.01543259897261,0.6224543323783932,Kan
7,1,pBR322,1.454159380425536,1.4030190006072287,28.45557846522335,25.322786983235954,1.0864725653198426,Kan
7,1,CloDF,1.7253698419760284,1.669347000951648,53.17794781438119,46.74037257545253,1.1171141083227252,Kan
7,1,pUC,1.6639544511543576,1.710374448643926,46.247337552079536,51.475715382843646,0.8793398455069873,Kan
7,2,pBR322,1.4186635870906363,1.3891897710799028,26.22668160375575,24.510060014515712,1.0294545756044884,Kan
7,2,CloDF,1.70940680596007,1.6672119824891178,51.26620114234376,46.49295219826783,1.0814198203968883,Kan
7,2,pUC,1.7244983583445357,1.7541820919830606,53.10767601584757,56.790957100805514,0.9170412657967061,Kan
7,3,pBR322,1.392142445737847,1.377291796639562,24.67964398037626,23.862659218744813,0.9929419667983058,Kan
7,3,CloDF,1.6776455827105947,1.6408540561591127,47.644065506519944,43.76460590407337,1.0669933185322324,Kan
7,3,pUC,1.7050374096861753,1.8435609196582956,50.72846972632001,69.82830049338263,0.7131102464960901,Kan
7,4,pBR322,1.4145336079882653,1.4236894096676538,26.011430520915084,26.59078288805914,0.9421790306857001,Kan
7,4,CloDF,1.667948172112859,1.6527347660680292,46.63132336145642,44.969593494284624,1.0152454239205415,Kan
7,4,pUC,1.5471844352553654,1.6525307107200735,35.26391058271951,44.94879108769109,0.7625294605893359,Kan
7,5,pBR322,1.4324707806912234,1.4060132333680242,27.07993724134033,25.485223072126583,1.0245145177614543,Kan
7,5,CloDF,1.640926901956374,1.635855513409686,43.752287598914734,43.28866543193013,0.9895527484113992,Kan
7,5,pUC,1.4260633814838137,1.5073439368214636,26.692504395722523,32.20693516726112,0.7990592076910619,Kan
8,1,pBR322,1.3157926276411198,1.331946326678104,20.70298654274867,21.499190678838186,0.9171805975052063,Kan
8,1,CloDF,1.545095594501559,1.5715828722870964,35.12229437441711,37.31868523600662,0.9154923510841951,Kan
8,1,pUC,1.299719933366206,1.5254692682618425,19.96751835380358,33.54806010565682,0.5654222747676834,Kan
8,2,pBR322,1.341514675810241,1.3799664072669449,21.963015091235153,23.988748413901522,0.8736786228599133,Kan
8,2,CloDF,1.5273363939867597,1.5649469328453656,33.69763644213565,36.729669934184265,0.889985990629612,Kan
8,2,pUC,1.0293091607484512,1.1624251320655616,10.72702685541948,14.571491155743567,0.6676038587069565,Kan
8,3,pBR322,1.3443750084554693,1.389505245931467,22.135568627347364,24.54452575620962,0.8606678205581665,Kan
8,3,CloDF,1.483014280928083,1.5112238549155947,30.416622369538278,32.45617634275522,0.9064310417861609,Kan
8,3,pUC,0.944888489400475,1.1675930136337749,8.80956374121981,14.711289518898672,0.5308290699473993,Kan
8,4,pBR322,1.2825235354103104,1.3072095578564455,19.17444969098412,20.292523445221395,0.8956071866887281,Kan
8,4,CloDF,1.4758860907424303,1.5164184443018491,29.935922217901616,32.86817049104267,0.8812465224962581,Kan
8,4,pUC,1.048844129034686,1.3543798288265496,11.20085379866399,22.621476383575512,0.45071182369700297,Kan
8,5,pBR322,1.3310164369137703,1.3921703256495814,21.482930986458346,24.7552331762401,0.8290571217448054,Kan
8,5,CloDF,1.4720101374696386,1.5034177111575486,29.67439519752411,31.877773739337623,0.899320081521704,Kan
8,5,pUC,1.0204312711183303,1.277330634432978,10.48371313461197,18.96178705753169,0.501371682833411,Kan
9,1,pBR322,1.3272498641714923,1.554316046144398,21.263909921169027,35.9420313981085,0.5652117020168282,Kan
9,1,CloDF,1.4819724277812387,1.6793724347037113,30.359446149136758,47.80439358955322,0.6141705048735489,Kan
9,1,pUC,0.8427868478768206,1.5240659343974192,6.969586706751464,33.42661256939553,0.1786107197664364,Kan
9,2,pBR322,1.2600495005065966,1.4760958354718074,18.205681781792048,29.952481825943153,0.5750397688957524,Kan
9,2,CloDF,1.491184921446713,1.720601884325875,31.021471036400083,52.58648339664364,0.5708275650833876,Kan
9,2,pUC,0.8954505724399405,1.570190012151454,7.901339396300641,37.30344027246608,0.18451389025270395,Kan
9,3,pBR322,1.2742128205650385,1.51497792483278,18.819149779328882,32.75111941130157,0.5441117973021486,Kan
9,3,CloDF,1.4471418528240159,1.665704289452185,28.04679716032408,46.33767113760265,0.5831893101031046,Kan
9,3,pUC,0.8323376283971191,1.6289990097927298,6.798993005923389,42.60299125995531,0.1362609564724878,Kan
9,4,pBR322,1.237466376676484,1.4705508410185553,17.285785587269345,29.55816985873959,0.5508822105101683,Kan
9,4,CloDF,1.4080564469412344,1.6630988890615017,25.602231967765636,46.11204108464414,0.5345676016526516,Kan
9,4,pUC,0.6934201504354102,1.4644327156748054,4.9455577404840065,29.153124085657485,0.13530911627179673,Kan
9,5,pBR322,1.2771306356841359,1.5197673875524573,18.947492923244127,33.13452500988161,0.5419117744608756,Kan
9,5,CloDF,1.4153404174666138,1.6509417356948186,26.04008436421857,44.783166865168624,0.5592273023717759,Kan
9,5,pUC,0.6645747027495232,1.2597938048072812,4.62069850482703,18.190879744490502,0.19911537524199033,Kan
10,1,pBR322,1.2552196944143192,1.3425924665629905,18.005612816516198,22.04348673962848,0.7726170582215272,Kan
10,1,CloDF,1.3250085233749649,1.4015223631132507,21.184281722316495,25.259489865831394,0.7987352845228988,Kan
10,1,pUC,0.6521248420006183,1.464631388658174,4.5038392427153315,29.22100183824151,0.11961915703643806,Kan
10,2,pBR322,1.176580354307828,1.2694169383704743,15.023688511767714,18.600182178840736,0.7545968570663432,Kan
10,2,CloDF,1.371462032076791,1.4549384480946133,23.54109214853338,28.515532675172466,0.7906757237501206,Kan
10,2,pUC,0.6679219506181336,1.3877537422391228,4.695195647050208,24.50261387112965,0.1498090575909786,Kan
10,3,pBR322,1.1953078863317566,1.3013586066962137,15.697245205950074,20.09852746084885,0.7339361381735866,Kan
10,3,CloDF,1.3653858319693246,1.4527420408583618,23.20047372767199,28.36359378310011,0.7827827347646287,Kan
10,3,pUC,0.49625527508276096,1.2320757663515942,3.1360264520144834,17.07269705693861,0.12515663004650782,Kan
10,4,pBR322,1.2033344256858811,1.3014077150609873,15.981256903130785,20.01910875980209,0.7482790922760859,Kan
10,4,CloDF,1.3209167196286524,1.4670255168681041,20.960115434668857,29.38784784798914,0.6828159253473362,Kan
10,4,pUC,0.4169237787896379,1.2039648730620487,2.6150084511957026,16.02692668176285,0.10067037128706315,Kan
10,5,pBR322,1.1925268552799757,1.2910062694488558,15.596214078440928,19.57676748448388,0.7460119655273297,Kan
10,5,CloDF,1.3567429434926186,1.4667696535699803,22.787506516572435,29.33784156625416,0.742071205083307,Kan
10,5,pUC,0.5383565766166053,1.4688583596278788,3.4549506401433674,29.446180674921063,0.0834028366014295,Kan
11,1,pBR322,1.3042170532749584,1.5494367484023035,20.183353946821025,35.55334004114901,0.5404484972051384,Kan
11,1,CloDF,1.4304027771543086,1.6719168940832565,26.975324219957482,47.000874730219486,0.5527690696278605,Kan
11,1,pUC,0.4512215860833604,1.7118643227049375,2.830102515370843,51.53029007105409,0.03549005014266659,Kan
11,2,pBR322,1.2622425541972746,1.521082616428585,18.31335221000717,33.248179899815554,0.5208582659204689,Kan
11,2,CloDF,1.4647382892742689,1.7216686534440722,29.187135158555336,52.71975935177875,0.534519465438961,Kan
11,2,pUC,0.40868667564695915,1.4743550819079605,2.5650315084919844,29.810840416176475,0.05248989792870374,Kan
11,3,pBR322,1.2914631270577976,1.5576739466947984,19.59689029047721,36.207666500558204,0.5140323911434763,Kan
11,3,CloDF,1.3600279860357558,1.613113143041601,22.92316371521316,41.05217860291995,0.5340957957953224,Kan
11,3,pUC,0.3180914787083501,1.4096406023358368,2.0803879824730873,25.687538842549074,0.04205460306048076,Kan
11,4,pBR322,1.2419520894875051,1.512013084492635,17.461047762884515,32.52484652071241,0.5063026262295937,Kan
11,4,CloDF,1.3408010539065482,1.6097102961105703,21.93021803809638,40.76312355628165,0.5140301427880055,Kan
11,4,pUC,0.34917874683341915,1.6539052055837915,2.235938082613638,45.18092100580279,0.02736680919499018,Kan
11,5,pBR322,1.2288063440548191,1.489445794127905,16.95648950609929,30.886637879619453,0.5163458768429514,Kan
11,5,CloDF,1.3846682305853049,1.6334645426621053,24.26359026448966,43.022944663880885,0.5410871114884305,Kan
11,5,pUC,0.3373968505143788,1.6828082461026688,2.1763530907355024,48.27423201151498,0.02436206790291477,Kan
12,1,pBR322,1.2083177286482019,1.2561436453620105,16.164144467633868,18.082242328704357,0.8411709847073543,Kan
12,1,CloDF,1.3433304034944449,1.4187655544158797,22.06590734510023,26.267548155716128,0.802815237544034,Kan
12,1,pUC,0.16389608490283705,1.4385271762979406,1.4631484631805225,27.538964612537328,0.016598725453500957,Kan
12,2,pBR322,1.1944177564153693,1.282089637052228,15.65197648074183,19.152986801401614,0.7657297774632861,Kan
12,2,CloDF,1.4105039195456666,1.4997687134602604,25.77560952476001,31.616548279294268,0.7829718042706647,Kan
12,2,pUC,0.18886092201205598,1.37530939987026,1.5489860732882084,23.781431013714013,0.0228876634814166,Kan
12,3,pBR322,1.1853754568186716,1.278292153161993,15.33820640494711,18.990042527519858,0.7549644814507271,Kan
12,3,CloDF,1.3123640538799421,1.407792459247857,20.53788262207995,25.581996212112,0.7647898522816733,Kan
12,3,pUC,0.18101451188471354,1.4476388969236649,1.5176585571786283,28.062134677189544,0.018430551642566798,Kan
12,4,pBR322,1.1379037992770853,1.2281017075722127,13.745785172203748,16.93345254887645,0.753422606350466,Kan
12,4,CloDF,1.2454502889552357,1.3576629908130622,17.606663135605277,22.801186612634197,0.7289050364461066,Kan
12,4,pUC,0.061924152993127944,1.3400479368227802,1.1543532061447312,21.894463966058623,0.006980316339328701,Kan
12,5,pBR322,1.1588820365463153,1.2455975285986394,14.428627909592967,17.66847594864232,0.7629662237780944,Kan
12,5,CloDF,1.2786196421922542,1.3649334217216686,19.01251794213336,23.186970631601323,0.7782737460004495,Kan
12,5,pUC,0.03836325721424858,1.3060703674672043,1.0926053369050035,20.25262446226498,0.004584437772740177,Kan
13,1,pBR322,1.3302534445631131,1.4790779515127863,21.419173702136302,30.22624965472747,0.6769302577969988,Kan
13,1,CloDF,1.5336028420868402,1.6669631725828815,34.19480081452,46.44990792638584,0.714572712701428,Kan
13,1,pUC,1.5392269604676734,1.8101168746696796,34.65680238474165,64.73006647421921,0.5206160232428331,Kan
13,2,pBR322,1.3593358418197703,1.5357238525055659,22.903054146157515,34.37209634056614,0.6371507296503182,Kan
13,2,CloDF,1.6109326272721949,1.7776047848740637,40.85192516556891,59.97161174375375,0.6645923406310547,Kan
13,2,pUC,1.4751378308167122,1.7362928523391894,29.87790308299178,54.487799401597364,0.5299965203080211,Kan
13,3,pBR322,1.301199383413576,1.4787448521778443,20.027846844276162,30.165892014848808,0.6315729980528382,Kan
13,3,CloDF,1.5649962532077428,1.7343285545571707,36.77188821326943,54.252445991312676,0.6593499854283068,Kan
13,3,pUC,1.4907689191928395,1.7548294072779231,30.962884222809247,56.88103061502241,0.5269780539509229,Kan
13,4,pBR322,1.2163224918407307,1.3850567564242249,16.457335020830662,24.28466554349681,0.6370717365145425,Kan
13,4,CloDF,1.5439224042155362,1.7202262699643007,35.0765479621542,52.549521610763065,0.6481368042279498,Kan
13,4,pUC,1.496968742113717,1.7679421768565398,31.427633637190354,58.62799475630703,0.5188357122629124,Kan
13,5,pBR322,1.2674108866403564,1.4249143051912696,18.51062347167694,26.61380764898121,0.6585171696050091,Kan
13,5,CloDF,1.500171249868713,1.6147778542307163,31.64033113704401,41.20215853891673,0.744458486830185,Kan
13,5,pUC,1.6537254758832274,1.9115813857416215,45.108588654948825,81.64816886113401,0.5404881215802495,Kan
14,1,pBR322,1.282866330346391,1.4676710012182876,19.23733850946791,29.454441215338772,0.6194243925542546,Kan
14,1,CloDF,1.5059905816607335,1.6677895498742223,32.13023825274619,46.59190522546402,0.6675825765231562,Kan
14,1,pUC,1.5642912908458844,1.859887732376561,36.80857617334259,72.53697972693435,0.49295948380176074,Kan
14,2,pBR322,1.281837027659346,1.4830517022330605,19.1588706011678,30.441663216045868,0.5963903388453091,Kan
14,2,CloDF,1.5930510011340282,1.7798404779020904,39.20297926207306,60.248408540713704,0.6342675572691305,Kan
14,2,pUC,1.4694323684747808,1.7580029785778573,29.479246912409693,57.304977885808775,0.4972314528329216,Kan
14,3,pBR322,1.3327094392853824,1.5534622445485475,21.53173800195788,35.80396322314507,0.5737589904663785,Kan
14,3,CloDF,1.538177800196884,1.7433237188474673,34.55174030174585,55.41169594252177,0.6066724340379241,Kan
14,3,pUC,1.5825467584467974,1.8620551877713611,38.26397724442628,72.85549495967827,0.511716967587828,Kan
14,4,pBR322,1.2353835410611584,1.4467884301322131,17.19494216950962,27.984149634744607,0.5791372809924314,Kan
14,4,CloDF,1.5075617154510246,1.7117695355313558,32.248601563914264,51.51341498931882,0.6064114130041038,Kan
